AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,EQDIASQ,SOLIDITY,CONVEX_AREA,EXTENT,ASPECT_RATIO,ROUNDNESS,COMPACTNESS,SHAPEFACTOR_1,SHAPEFACTOR_2,SHAPEFACTOR_3,SHAPEFACTOR_4,Class
78466.0,2356.908,445.9131,258.5125,0.8148,316.0791,0.8662,,0.6123,1.7249,0.1775,0.7088,0.0057,0.0033,0.5024,0.8667,Siit_Pistachio
85557.0,1322.328,461.257,238.683,0.8557,330.0524,0.9754,87718.0,,1.9325,0.6149,0.7155,0.0054,0.0028,0.512,0.9895,Siit_Pistachio
86253.0,1186.932,467.8057,236.0913,0.8633,331.3921,0.9811,87917.0,,1.9815,0.7694,0.7084,0.0054,0.0027,0.5018,0.9943,Siit_Pistachio
70860.0,1053.098,394.8376,236.2991,0.8011,300.3694,0.9636,73537.0,0.6961,1.6709,0.8029,0.7607,0.0056,0.0033,0.5787,0.967,Siit_Pistachio
62005.0,1094.851,421.7912,195.2334,0.8864,280.9755,0.9351,66305.0,0.7568,2.1604,0.65,0.6661,0.0068,0.0031,0.4438,0.9587,Kirmizi_Pistachio
105901.0,1342.899,502.0544,273.5204,0.8386,367.2021,0.9626,110019.0,0.7318,1.8355,0.7379,0.7314,0.0047,0.0026,0.5349,,
66313.0,1870.754,,252.3931,0.7798,290.5724,0.8138,81481.0,,1.5975,0.2381,,0.0061,0.0038,0.5193,0.8297,Kirmizi_Pistachio
70394.0,1238.661,435.3858,211.9258,0.8735,299.3801,0.9535,73828.0,0.7509,2.0544,0.5766,0.6876,0.0062,0.003,0.4728,0.9714,Kirmizi_Pistachio
37130.0,1085.4611,370.5977,136.5552,0.9296,217.429,0.8889,41771.0,0.6703,,0.396,0.5867,0.01,0.0037,0.3442,0.9342,Kirmizi_Pistachio
76833.0,1170.0229,458.261,230.6758,0.8641,312.7728,0.9164,,0.7016,1.9866,,0.6825,,0.003,0.4658,0.9254,Kirmizi_Pistachio
73198.0,1166.658,450.2952,232.6949,0.8561,305.2844,0.8942,81857.0,0.6921,1.9351,0.6758,0.678,0.0062,0.0032,0.4596,0.8895,Siit_Pistachio
31446.0,1127.548,,133.5096,0.9288,200.0957,0.7601,41369.0,0.4853,2.6994,0.3108,0.5552,0.0115,,0.3083,0.8321,Kirmizi_Pistachio
72460.0,1187.1949,443.7118,215.1141,0.8746,303.7416,0.9519,76124.0,0.7555,2.0627,,0.6845,,0.003,0.4686,0.9666,Kirmizi_Pistachio
,1249.158,495.8077,241.974,0.8728,345.555,0.985,95212.0,0.786,2.049,0.7553,0.697,0.0053,0.0026,0.4857,0.9953,Siit_Pistachio
65537.0,1216.847,419.4887,208.7649,0.8674,288.8673,0.9353,70073.0,0.709,2.0094,0.5562,0.6886,0.0064,0.0032,0.4742,0.9528,Kirmizi_Pistachio
86580.0,1503.323,428.6295,267.9256,0.7806,332.0197,0.926,93500.0,0.7275,1.5998,0.4814,0.7746,0.005,0.0031,0.6,0.9599,Siit_Pistachio
74489.0,,458.9898,213.1344,0.8856,307.9648,0.922,,0.6838,,0.3932,0.671,0.0062,0.0029,0.4502,0.9695,Kirmizi_Pistachio
92938.0,1558.8781,504.6014,238.9639,0.8808,343.9947,0.9519,,0.7178,2.1116,0.4806,0.6817,,0.0026,0.4647,0.9813,Kirmizi_Pistachio
,1556.7419,467.6827,266.8364,,345.1125,0.9359,,0.7561,1.7527,0.4851,0.7379,0.005,,0.5445,0.9544,Siit_Pistachio
89084.0,2043.235,424.6149,,0.7419,336.7867,0.9113,97758.0,0.7534,,0.2681,0.7932,0.0048,0.0032,0.6291,0.9382,Siit_Pistachio
95819.0,1201.66,472.6712,258.5608,0.8371,349.2858,,96989.0,0.7603,1.8281,0.8339,0.739,,0.0027,0.5461,0.9983,Siit_Pistachio
71409.0,1686.645,443.9521,226.7902,0.8597,,0.8661,82450.0,0.6591,1.9575,0.3154,,0.0062,0.0032,0.4613,0.903,Kirmizi_Pistachio
73579.0,,443.8091,217.8753,0.8712,306.0779,0.9345,78739.0,0.7584,2.037,0.6951,0.6897,0.006,0.003,0.4756,0.9689,Kirmizi_Pistachio
57539.0,1852.1949,,218.6565,0.8504,270.6676,0.7909,72752.0,,1.9007,,0.6513,0.0072,0.0038,0.4242,0.8062,Kirmizi_Pistachio
89930.0,1342.296,498.2695,253.8328,0.8605,338.3821,,,0.7011,,,0.6791,0.0055,0.0028,,0.9053,Siit_Pistachio
93962.0,1588.455,493.8718,249.8349,0.8626,345.8846,0.9453,99398.0,0.7502,1.9768,0.468,0.7004,,0.0027,0.4905,0.9696,Kirmizi_Pistachio
81625.0,1184.317,425.0785,248.45,0.8114,322.3789,0.9689,84248.0,0.7731,1.7109,0.7313,0.7584,0.0052,0.003,0.5752,0.9841,Siit_Pistachio
95120.0,1239.937,480.1718,253.7507,0.849,348.0094,0.9779,97267.0,0.7501,1.8923,0.7775,0.7248,,0.0027,0.5253,,Siit_Pistachio
90720.0,1221.231,455.7951,254.8096,0.8291,339.8651,0.9776,92794.0,0.7262,1.7888,0.7644,0.7457,,0.0028,,0.9946,Siit_Pistachio
44350.0,1077.984,,162.5234,0.8922,237.6303,0.9423,47065.0,0.6157,2.2145,,,0.0081,,,0.9654,Kirmizi_Pistachio
103155.0,1304.504,498.4672,270.8754,0.8395,,0.954,108134.0,,1.8402,0.7617,,,,0.5286,0.9727,Siit_Pistachio
86663.0,1461.332,458.8419,242.8171,0.8485,332.1788,0.9702,89327.0,,1.8897,0.51,0.724,0.0053,,0.5241,0.9904,
89353.0,2095.228,455.6266,289.6235,0.772,337.2948,0.882,101302.0,0.6411,1.5732,0.2558,0.7403,0.0051,0.0032,0.548,0.8621,
91169.0,,461.5725,252.2222,0.8375,340.7051,0.9855,92515.0,,,0.7922,0.7381,0.0051,0.0028,0.5449,0.9971,
106985.0,,,294.273,0.7742,369.0766,0.9917,107881.0,0.7514,1.5798,0.8753,,0.0043,0.0028,0.6303,0.9957,Siit_Pistachio
65887.0,,,,0.8879,289.6376,0.9184,71743.0,,,0.5501,0.6613,,0.0031,0.4373,0.9507,Kirmizi_Pistachio
,1231.943,422.2561,262.674,,329.4635,0.9586,88935.0,0.7595,1.6075,0.7059,0.7802,0.005,0.0031,0.6088,0.9786,Siit_Pistachio
74839.0,1133.668,450.0267,218.2663,0.8745,308.6875,0.965,77556.0,0.6936,,0.7318,0.6859,0.006,0.0029,0.4705,0.9701,Kirmizi_Pistachio
76974.0,1247.9969,465.7671,,0.8866,,0.953,80767.0,0.7571,2.1618,0.6211,0.6721,,0.0028,0.4518,0.9766,Kirmizi_Pistachio
97449.0,1425.244,482.2637,258.4121,0.8443,352.2441,0.9757,99879.0,0.7749,1.8663,0.6028,0.7304,0.0049,0.0027,0.5335,0.9956,
87888.0,1424.3149,468.6798,245.9184,0.8513,334.5183,,93149.0,0.6612,1.9058,0.5444,0.7137,0.0053,0.0028,0.5094,0.9709,Kirmizi_Pistachio
73388.0,1283.759,,230.853,0.8338,305.6804,0.9543,76901.0,0.7177,1.8113,0.5596,0.7311,0.0057,,0.5344,0.968,Kirmizi_Pistachio
73607.0,1070.1479,,219.3727,0.8591,306.1361,0.9909,74281.0,0.7982,1.9538,0.8077,0.7143,0.0058,0.003,0.5102,0.9968,Kirmizi_Pistachio
83793.0,,456.7764,237.9171,0.8536,326.6321,0.9545,87789.0,0.7593,1.9199,0.6017,0.7151,0.0055,0.0028,0.5113,0.9817,Kirmizi_Pistachio
75858.0,2226.1299,457.2219,231.9447,0.8618,310.7819,0.8915,85093.0,0.5994,1.9713,0.1924,0.6797,0.006,0.0031,0.462,0.9108,Kirmizi_Pistachio
91757.0,1273.413,503.7521,,0.8866,341.8021,0.9846,93193.0,0.7722,2.1618,0.7111,,0.0055,0.0025,0.4604,0.9953,Kirmizi_Pistachio
,1958.9771,465.9666,237.967,0.8598,,0.8988,88626.0,0.6613,,0.2608,,0.0058,0.003,0.4671,0.9146,Kirmizi_Pistachio
,1268.267,507.3129,226.3676,0.8949,337.3212,,90672.0,0.7587,2.2411,0.6982,,0.0057,0.0025,0.4421,0.9908,Kirmizi_Pistachio
73327.0,1093.545,,219.0459,0.8623,305.5533,0.9716,,0.6005,1.9749,0.7705,0.7063,0.0059,0.003,0.4989,0.9853,Kirmizi_Pistachio
,1648.0551,460.5694,237.4725,0.8568,326.6672,0.9424,88931.0,0.7431,1.9395,0.3878,,0.0055,,0.5031,0.9757,Kirmizi_Pistachio
72798.0,1259.91,473.3427,212.1377,0.8939,304.4492,0.905,80437.0,0.6253,2.2313,0.5763,0.6432,0.0065,0.0029,,0.9231,Kirmizi_Pistachio
95794.0,2214.8999,456.27,282.8162,0.7847,349.2402,0.9311,102884.0,0.6213,1.6133,0.2454,0.7654,0.0048,0.003,0.5859,0.9452,
63409.0,1870.822,425.0197,228.5947,0.843,,0.8309,,0.6796,1.8593,0.2277,0.6685,0.0067,0.0036,0.4469,0.831,Kirmizi_Pistachio
81672.0,1918.8459,487.3529,246.6937,0.8624,,0.8656,94350.0,0.709,1.9755,0.2787,0.6617,0.006,0.003,0.4378,0.8649,Kirmizi_Pistachio
88465.0,1134.158,448.4564,252.524,0.8264,335.6146,0.9935,89044.0,0.7494,1.7759,0.8642,,0.0051,0.0029,0.5601,0.9946,Siit_Pistachio
60789.0,1701.246,447.5554,189.5952,,278.2067,0.8829,,0.6803,2.3606,0.2639,0.6216,0.0074,0.0031,0.3864,0.9121,Kirmizi_Pistachio
73930.0,1155.9871,434.6458,229.1535,0.8497,306.8071,0.9534,77545.0,0.719,1.8967,0.6952,0.7059,0.0059,0.0031,0.4983,0.9451,Kirmizi_Pistachio
66501.0,1048.34,393.584,217.5908,0.8333,290.984,0.9775,68034.0,0.7657,,0.7604,0.7393,,0.0033,0.5466,,
62633.0,,,207.7311,0.8609,282.3948,0.8995,69631.0,0.7458,1.9654,0.6298,0.6917,,0.0033,0.4784,0.9403,Kirmizi_Pistachio
83131.0,1210.476,440.3339,,,325.3393,0.9516,87361.0,0.7965,1.7858,0.713,0.7388,0.0053,0.003,0.5459,0.9749,Kirmizi_Pistachio
68502.0,,434.0597,,0.8855,295.3294,0.9894,,0.7719,2.1524,0.7661,0.6804,0.0063,0.0029,0.4629,0.9964,Kirmizi_Pistachio
,1253.166,515.1892,226.3247,0.8983,334.4421,0.9349,93961.0,0.7688,2.2763,0.703,0.6492,0.0059,,0.4214,0.9593,Kirmizi_Pistachio
94073.0,1234.496,468.1513,259.2259,0.8327,346.0888,0.9734,96646.0,0.69,1.806,0.7757,0.7393,0.005,0.0028,0.5465,0.987,Siit_Pistachio
83490.0,,448.3226,,0.8276,326.041,0.9437,88472.0,0.6826,,0.7776,0.7272,,0.003,0.5289,0.9422,Siit_Pistachio
50883.0,1067.8051,429.0406,155.4648,0.932,254.5314,0.9705,52429.0,0.7345,2.7597,0.5608,0.5933,0.0084,0.0031,0.352,,Kirmizi_Pistachio
91032.0,1171.52,420.4451,,,,0.985,92415.0,0.7263,1.5029,0.8335,0.8097,0.0046,0.0031,0.6557,0.9854,Siit_Pistachio
79308.0,1735.127,,257.9073,0.7956,317.7705,0.9044,,0.6954,1.6507,0.331,0.7464,0.0054,0.0033,0.5571,0.9197,
102777.0,1316.403,480.6612,,0.8213,361.7454,0.9814,104730.0,0.7417,1.7529,0.7453,0.7526,0.0047,0.0027,0.5664,0.9928,Siit_Pistachio
83507.0,1324.458,474.4091,,0.8787,326.0742,0.9718,85929.0,0.7389,2.0947,0.5982,0.6873,0.0057,0.0027,,0.9896,Kirmizi_Pistachio
97523.0,1212.458,468.6178,266.0325,0.8232,352.3778,0.9903,98477.0,0.7536,1.7615,0.8336,0.752,0.0048,0.0027,0.5654,0.996,Siit_Pistachio
,1008.414,393.219,199.1728,0.8622,263.843,0.8852,61767.0,0.6497,,0.6756,0.671,0.0072,0.0036,0.4502,0.8888,Kirmizi_Pistachio
88942.0,1145.691,,265.8319,0.7858,336.5182,0.9803,90725.0,0.7449,1.6167,0.8515,0.783,0.0048,0.003,0.6131,0.9912,Siit_Pistachio
88744.0,1309.519,448.2818,259.0974,0.8161,336.1434,0.9511,,0.7693,1.7302,0.6503,0.7498,0.0051,0.0029,0.5623,0.9728,Siit_Pistachio
86114.0,,482.045,,0.8785,331.125,0.9709,88698.0,0.6016,2.0935,0.6652,0.6869,0.0056,0.0027,0.4719,0.9878,Kirmizi_Pistachio
84604.0,1348.728,471.3679,,0.8695,328.209,0.963,87854.0,0.7676,2.0247,0.5845,0.6963,0.0056,0.0028,0.4848,0.9816,Kirmizi_Pistachio
100658.0,1199.985,448.7871,286.8687,0.769,357.9969,0.993,101364.0,0.7231,1.5644,0.8784,0.7977,0.0045,0.0028,0.6363,0.9955,Siit_Pistachio
97587.0,,484.8851,260.8294,0.843,352.4934,0.9492,102813.0,0.6696,1.859,0.556,0.727,0.005,0.0027,0.5285,0.9824,Siit_Pistachio
72013.0,1097.8571,413.699,,0.8346,302.8032,0.9729,74018.0,0.7559,1.8153,0.7508,,,0.0032,0.5357,0.9725,Kirmizi_Pistachio
100177.0,1662.459,440.0412,303.7487,0.7235,357.1405,0.9159,109374.0,0.7243,1.4487,0.4555,,0.0044,0.003,0.6587,0.9543,Siit_Pistachio
66035.0,2038.506,435.733,207.4999,0.8793,289.9627,0.8606,76729.0,0.6566,,0.1997,0.6655,0.0066,0.0031,0.4428,0.9299,Kirmizi_Pistachio
95259.0,1219.304,483.5243,,0.8533,348.2636,0.9902,96197.0,0.7668,,0.8052,,0.0051,0.0026,0.5188,0.995,Siit_Pistachio
86933.0,1134.209,418.6372,266.1606,0.7719,332.6959,,87669.0,0.7437,1.5729,0.8492,0.7947,0.0048,0.0031,0.6316,0.9934,Siit_Pistachio
86365.0,1212.532,473.9468,237.2193,0.8657,331.6072,0.9656,89440.0,0.7608,,0.7382,,0.0055,0.0027,0.4895,0.9781,Kirmizi_Pistachio
84382.0,1231.981,488.2212,233.7021,0.878,327.7781,0.9228,91439.0,0.7132,2.0891,0.6986,0.6714,,0.0028,0.4507,0.9416,Siit_Pistachio
72612.0,1075.491,431.4258,216.4973,,304.06,0.9797,,0.8003,1.9928,,0.7048,0.0059,0.003,0.4967,0.9898,Kirmizi_Pistachio
83653.0,2057.9851,435.3364,256.3692,0.8082,326.3592,,90584.0,0.6446,1.6981,0.2482,0.7497,0.0052,0.0031,0.562,0.9543,Siit_Pistachio
73273.0,1126.7159,418.944,229.5669,0.8365,305.4408,0.9474,77341.0,0.6093,1.8249,0.7253,0.7291,0.0057,0.0031,0.5315,0.97,Siit_Pistachio
48770.0,2225.429,375.4734,199.815,0.8466,249.1905,0.7681,63495.0,0.5746,1.8791,0.1237,,0.0077,0.0041,0.4405,0.8277,Kirmizi_Pistachio
91449.0,1221.651,496.9003,236.5792,0.8794,341.2279,0.9889,,0.7481,2.1004,0.77,0.6867,0.0054,0.0026,0.4716,0.9905,
89192.0,1221.616,470.1267,251.2646,0.8452,,0.9471,94176.0,0.6924,1.871,0.751,0.7168,0.0053,0.0028,0.5138,0.9614,
90228.0,1240.993,479.9216,240.2062,0.8657,338.9423,0.9847,91630.0,0.7299,1.998,0.7362,0.7062,0.0053,0.0027,0.4988,,Siit_Pistachio
72772.0,1304.8199,485.6216,197.2223,0.9138,304.3948,0.9253,78643.0,0.725,2.4623,0.5371,0.6268,0.0067,0.0027,0.3929,0.9674,Kirmizi_Pistachio
84539.0,1224.829,489.0164,225.3641,0.8875,328.0829,0.9662,87494.0,0.7486,2.1699,0.7081,0.6709,,,0.4501,0.9767,Kirmizi_Pistachio
75257.0,1154.842,437.7139,221.2786,0.8628,309.5484,0.9861,76315.0,0.7741,1.9781,0.7091,0.7072,0.0058,0.0029,0.5001,0.9893,Kirmizi_Pistachio
,1165.88,421.96,,0.82,318.5309,0.9836,,0.78,,0.7367,0.7549,0.0053,,0.5698,0.9956,Siit_Pistachio
66140.0,1124.069,,201.6136,0.8883,290.1931,0.9489,69702.0,0.5716,2.177,0.6578,0.6612,0.0066,0.003,0.4371,0.9516,Kirmizi_Pistachio
86692.0,1206.1379,465.4858,,0.8586,332.2344,0.9812,88354.0,0.7767,1.9505,0.7489,0.7137,0.0054,0.0028,0.5094,0.9936,Siit_Pistachio
92515.0,1173.646,425.3494,,0.7578,343.2109,0.9897,93476.0,0.7812,1.5326,0.844,0.8069,0.0046,0.003,0.6511,0.9978,Siit_Pistachio
70376.0,1108.043,425.9539,212.0494,0.8673,299.3418,0.977,,0.7189,2.0087,0.7203,,0.0061,0.003,0.4939,0.9921,Kirmizi_Pistachio
37570.0,1341.147,344.9283,143.1741,0.9098,218.7135,0.8697,43197.0,0.6135,2.4092,0.2625,0.6341,0.0092,0.0038,0.4021,0.9686,Kirmizi_Pistachio
60571.0,1894.291,389.9319,239.6307,0.7889,277.7074,0.8091,,0.5966,1.6272,0.2121,0.7122,0.0064,0.004,0.5072,0.8254,
88064.0,,460.8669,245.5073,0.8463,334.8531,0.9734,90472.0,,,0.6264,0.7266,0.0052,0.0028,0.5279,0.991,Kirmizi_Pistachio
,2520.8379,418.6079,266.8803,0.7704,317.8266,0.8709,91101.0,0.6789,1.5685,0.1569,0.7592,0.0053,0.0034,0.5765,0.9042,Siit_Pistachio
72189.0,1184.424,462.6273,208.5969,0.8926,303.173,0.9282,77775.0,0.7361,2.2178,0.6466,,0.0064,,0.4295,0.9524,Kirmizi_Pistachio
76885.0,1219.3051,456.002,225.5101,0.8692,312.8786,0.9461,81269.0,,2.0221,0.6499,0.6861,0.0059,0.0029,0.4708,0.952,Kirmizi_Pistachio
100078.0,1239.295,491.6648,266.5896,0.8402,356.964,0.9584,104419.0,,1.8443,0.8188,0.726,0.0049,0.0027,0.5271,0.9722,Siit_Pistachio
85379.0,1200.442,495.1144,220.8501,0.895,,0.9868,86525.0,0.7403,2.2419,0.7445,0.6659,0.0058,,0.4435,0.9942,Kirmizi_Pistachio
96684.0,1203.632,445.1109,278.3125,0.7804,350.8588,0.99,97662.0,0.7597,1.5993,0.8386,0.7883,0.0046,0.0029,0.6213,0.9937,Siit_Pistachio
,1291.535,467.2177,226.7052,0.8744,322.5921,0.949,86121.0,0.6764,2.0609,0.6157,0.6905,0.0057,0.0028,0.4767,0.9825,Kirmizi_Pistachio
84641.0,1271.9301,497.6341,220.0112,0.897,328.2808,0.9694,87311.0,,2.2619,,,0.0059,0.0026,0.4352,0.9843,Kirmizi_Pistachio
77146.0,,438.5641,230.0513,0.8514,313.4092,0.9329,82697.0,0.6922,1.9064,0.5365,0.7146,0.0057,,0.5107,,Kirmizi_Pistachio
97269.0,2058.1951,,271.5347,0.8195,351.9186,0.9393,103556.0,0.7537,1.7449,0.2885,,0.0049,0.0028,0.5517,0.9626,Siit_Pistachio
77915.0,1232.812,446.3859,225.7818,0.8627,314.9674,0.9447,82480.0,0.7238,1.9771,0.6442,0.7056,,0.0029,0.4979,0.9843,Kirmizi_Pistachio
71513.0,1166.86,436.5522,209.9492,0.8768,,0.9771,73186.0,0.7331,2.0793,0.66,0.6912,0.0061,0.0029,0.4778,0.9934,Kirmizi_Pistachio
81211.0,1112.223,,,0.7985,321.5603,0.987,82281.0,0.7673,1.661,0.825,0.7748,,0.0031,0.6003,0.997,Siit_Pistachio
72208.0,1841.912,422.9324,240.0699,0.8233,303.2129,0.8816,81907.0,0.7137,1.7617,0.2675,0.7169,0.0059,0.0033,0.514,0.9055,Kirmizi_Pistachio
85950.0,1240.156,440.127,252.0768,,330.8095,0.9672,88869.0,0.7606,1.746,,0.7516,0.0051,0.0029,0.5649,0.9864,Siit_Pistachio
76410.0,1966.1021,462.8589,223.0895,0.8762,311.9106,0.8895,,0.7084,2.0748,0.2484,0.6739,0.0061,0.0029,0.4541,0.9422,Kirmizi_Pistachio
83847.0,1201.149,471.1476,232.1412,0.8702,326.7374,0.9622,87139.0,0.681,,0.7303,0.6935,0.0056,,0.4809,0.9761,Kirmizi_Pistachio
78194.0,1148.026,458.5417,221.1377,0.876,315.5308,0.9641,81103.0,0.7723,2.0736,0.7456,0.6881,,0.0028,0.4735,0.9818,Kirmizi_Pistachio
92730.0,1313.45,441.7111,268.8763,0.7934,343.6095,0.9768,94931.0,0.7522,1.6428,0.6755,0.7779,0.0048,0.0029,0.6051,0.9941,Siit_Pistachio
113794.0,,451.1695,334.9978,0.6698,380.6403,0.9299,122368.0,0.7595,1.3468,0.555,0.8437,0.004,0.0029,0.7118,0.9586,Siit_Pistachio
97942.0,1295.588,483.2561,259.9262,0.843,353.134,0.9751,100441.0,,1.8592,0.7332,0.7307,0.0049,0.0027,0.534,0.9928,Siit_Pistachio
86383.0,2266.781,,283.5623,0.7448,331.6418,0.8891,97156.0,0.7221,1.4986,0.2113,0.7805,0.0049,0.0033,0.6091,0.9128,Siit_Pistachio
60519.0,1036.614,,187.7278,0.8934,277.5882,0.9837,61520.0,,2.2264,0.7077,,0.0069,0.0031,0.4411,0.9821,Kirmizi_Pistachio
,,424.6553,254.0485,0.8013,326.0567,0.9844,84818.0,0.7388,1.6716,0.7624,0.7678,0.0051,0.003,,0.9854,Siit_Pistachio
86116.0,1203.455,485.0843,,0.8783,331.1288,0.9754,88287.0,0.6387,2.0917,0.7472,0.6826,,0.0027,0.466,0.9747,Kirmizi_Pistachio
83960.0,1136.793,452.429,237.8178,0.8507,,0.9915,84680.0,0.7581,1.9024,0.8164,0.7227,0.0054,0.0028,0.5223,0.9935,Kirmizi_Pistachio
77937.0,,432.2187,263.1985,0.7932,315.0119,0.9005,86550.0,0.6985,1.6422,0.5868,0.7288,0.0055,,0.5312,0.8723,Kirmizi_Pistachio
62949.0,1080.74,439.3545,182.8873,,283.1063,0.9849,63915.0,0.7138,2.4023,0.6773,0.6444,0.007,,0.4152,0.9975,Kirmizi_Pistachio
83470.0,1263.499,418.3139,255.6985,0.7914,326.002,0.9709,85972.0,0.6916,1.636,0.657,,,0.0031,0.6073,0.9936,Siit_Pistachio
99458.0,1251.755,,255.824,0.8568,355.8565,0.9881,100655.0,0.7871,1.9392,0.7976,0.7173,0.005,0.0026,0.5145,0.9978,
64307.0,1225.937,402.5959,220.378,0.8369,286.1437,0.8963,71746.0,0.7242,1.8268,0.5377,0.7107,0.0063,0.0034,0.5052,0.9228,Kirmizi_Pistachio
,,447.6554,316.7318,0.7067,364.1327,0.9179,113448.0,0.6514,1.4134,0.4262,0.8134,,0.003,0.6617,0.9352,
84675.0,1475.323,398.7496,275.5073,0.7229,328.3467,0.9486,89265.0,0.7252,1.4473,0.4889,0.8234,0.0047,0.0033,0.6781,0.9814,Siit_Pistachio
77732.0,2198.8049,431.0561,253.5455,0.8087,314.5973,0.8998,86390.0,0.7072,1.7001,0.202,0.7298,0.0055,0.0033,0.5327,0.9056,Kirmizi_Pistachio
73292.0,,423.9817,231.4563,0.8378,305.4804,0.9152,80083.0,,1.8318,0.7354,0.7205,0.0058,0.0032,0.5191,,Kirmizi_Pistachio
90235.0,1236.269,485.8639,237.3859,0.8725,,0.9844,91662.0,0.772,2.0467,0.7419,0.6976,0.0054,0.0026,0.4867,0.9961,Kirmizi_Pistachio
71581.0,1464.892,351.6846,275.7096,0.6208,301.8936,0.9179,77983.0,0.6848,1.2756,0.4192,0.8584,0.0049,0.0039,0.7369,0.9399,Siit_Pistachio
65779.0,1267.324,432.0235,203.246,0.8824,289.4001,0.9351,70345.0,0.7041,2.1256,0.5147,0.6699,0.0066,0.0031,0.4487,0.9538,Kirmizi_Pistachio
76106.0,,448.0673,226.9199,0.8623,311.2895,0.9335,81528.0,,1.9746,0.595,0.6947,,0.003,0.4827,0.953,Kirmizi_Pistachio
82275.0,1330.2629,447.4186,246.3965,0.8347,,,87113.0,0.7179,1.8158,0.5843,0.7234,0.0054,,0.5233,0.9502,Siit_Pistachio
97551.0,,459.2454,274.0821,0.8024,352.4284,0.977,99845.0,0.6695,,0.7885,0.7674,0.0047,0.0028,0.5889,0.9868,Siit_Pistachio
96762.0,1235.4449,450.2566,280.7701,0.7818,351.0003,0.9636,100422.0,0.7538,1.6036,0.7967,0.7796,0.0047,0.0029,0.6077,,Siit_Pistachio
94564.0,,430.755,295.7373,0.7271,346.9908,0.923,102457.0,,1.4565,0.3536,0.8055,0.0046,0.0031,0.6489,0.9451,Siit_Pistachio
91922.0,2600.3191,510.7675,247.9755,,342.1092,0.8823,104190.0,,2.0597,0.1708,0.6698,0.0056,0.0027,0.4486,0.9241,Kirmizi_Pistachio
77289.0,1183.1071,471.7619,213.2464,0.892,313.6996,0.9704,,,2.2123,0.6939,0.665,,0.0028,0.4422,0.9782,Kirmizi_Pistachio
75027.0,1118.1121,372.8005,259.5359,0.7179,,0.9603,78132.0,0.7534,1.4364,0.7541,,0.005,0.0035,0.6873,0.9873,Siit_Pistachio
93313.0,,447.1666,278.4893,0.7824,344.688,0.9361,99678.0,0.7607,1.6057,0.338,,0.0048,0.003,0.5942,,Siit_Pistachio
96253.0,,474.9414,275.0134,0.8153,350.0759,0.9325,103224.0,0.6724,1.727,0.7361,0.7371,0.0049,0.0029,0.5433,,Siit_Pistachio
68290.0,1236.179,439.6265,200.1081,0.8904,294.872,0.9673,70597.0,0.7652,2.1969,0.5616,0.6707,0.0064,0.0029,0.4499,0.9884,Kirmizi_Pistachio
76223.0,1174.623,,214.8004,0.8816,311.5287,0.9765,78055.0,0.7181,,0.6942,0.6846,0.006,0.0028,0.4686,0.9928,Kirmizi_Pistachio
,1115.3409,426.3322,241.1406,0.8247,320.3882,0.9845,81893.0,0.7613,1.768,0.8144,0.7515,0.0053,0.003,0.5648,0.9985,Siit_Pistachio
82517.0,1370.949,469.2751,228.7756,0.8731,324.1356,0.9557,86344.0,0.7855,2.0512,0.5517,0.6907,0.0057,0.0028,0.4771,0.9786,Kirmizi_Pistachio
75506.0,1160.337,454.0594,215.1475,0.8806,310.06,0.966,78167.0,0.7375,,0.7047,0.6829,0.006,0.0028,0.4663,0.9841,Kirmizi_Pistachio
76159.0,1338.583,463.3061,219.6175,0.8805,311.3979,0.9315,81761.0,0.5775,2.1096,0.5341,0.6721,0.0061,0.0029,0.4517,0.953,
85262.0,2740.543,480.6518,,0.8151,329.4828,0.826,103219.0,,1.7261,0.1427,0.6855,,0.0033,0.4699,0.8111,Siit_Pistachio
84821.0,1894.724,491.2557,233.824,0.8795,328.6297,0.9156,,0.6702,2.101,0.2969,0.669,0.0058,0.0028,0.4475,0.9402,Kirmizi_Pistachio
,,461.2345,247.2776,0.8441,335.6487,0.9506,93081.0,0.7223,1.8652,0.5546,0.7277,0.0052,0.0028,0.5296,0.9878,Kirmizi_Pistachio
66725.0,1096.298,396.8518,217.4527,0.8365,291.4737,0.9587,69598.0,0.7652,1.825,0.6977,0.7345,0.0059,0.0033,0.5394,0.9845,Kirmizi_Pistachio
93340.0,1290.415,,235.6817,0.8877,344.7379,0.971,96123.0,0.7512,2.1717,0.7044,0.6735,0.0055,0.0025,0.4536,0.9852,Kirmizi_Pistachio
78957.0,1252.6639,414.891,249.5627,,317.0665,0.923,85544.0,0.6646,1.6625,0.6323,0.7642,0.0053,0.0032,0.584,0.9709,Siit_Pistachio
66244.0,,409.1532,209.4531,0.859,290.4212,0.972,68153.0,0.7885,,0.746,0.7098,0.0062,0.0032,0.5038,0.9842,Kirmizi_Pistachio
56812.0,,421.5977,210.0969,0.867,268.9522,0.8006,,0.6587,2.0067,0.209,0.6379,0.0074,0.0037,0.407,0.8166,Kirmizi_Pistachio
63199.0,1236.666,421.4809,196.3623,0.8848,283.6679,0.9622,65683.0,0.589,2.1464,0.5193,0.673,0.0067,0.0031,0.453,0.9723,Kirmizi_Pistachio
